FCLTY_NM,CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,DATA_CO,TOT_PROGRM_CO,VIEWNG_PRICE,ARTGR_EMP_CO,BULD_AR_VALUE,DSPY_AR_CN,FLAG_NM,VIEWNG_NMPR_CO
이중섭미술관,제주,서귀포시,정방동,4535,3.0,1500,2,589.0,195.0,공립,128725
제주도립미술관,제주,제주시,연동,10000,5.0,2000,2,7087.0,2299.86,공립,70729
제주추사관,제주,서귀포시,대정읍,2588,0.0,2750,2,1193.9,394.24,공립,48395
제주현대미술관,제주,제주시,한경면,1478,2.0,2750,2,2107.0,1920.1,공립,124313
김영갑갤러리두모악미술관,제주,서귀포시,성산읍,4535,0.0,5000,2,947.0,610.0,사립,26947
돌하르방미술관,제주,제주시,조천읍,130,14.0,7000,1,1593.0400000000002,8264.0,사립,20367
러브랜드미술관,제주,제주시,연동,10613,0.0,15000,1,2840.25,1066.2,사립,36000
박물관은 살아있다,제주,서귀포시,예래동,10613,0.0,14000,1,4608.0,2020.0,사립,216023
아라리오뮤지엄 탑동시네마,제주,제주시,삼도2동,50,0.0,15000,2,5715.0,4798.0,사립,26744
왈종미술관,제주,서귀포시,동홍동,1320,0.0,10000,1,999.0,335.0,사립,12828
유민미술관,제주,서귀포시,성산읍,2588,0.0,12000,3,1386.0,1184.0,사립,39390
제주옹기숨미술관,제주,제주시,노형동,100,8.0,7465,2,376.0,189.0,사립,13000
루나폴,제주,서귀포시,안덕면,2588,1.0,10000,1,1592.0,21800.0,사립,148840
포도뮤지엄,제주,서귀포시,안덕면,1338,3.0,7465,1,2658.05,1309.463,사립,76356
포토갤러리자연사랑미술관,제주,서귀포시,표선면,10000,3.0,3000,1,1087.0,829.0,사립,5000
유동룡미술관,제주,제주시,한림읍,100,5.0,30000,2,674.4,357.4,사립,29000
